"tad_id","swab_id","pcr_ct","pcr_qty","pcr_ipc_ct","pcr_inhibited","pcr_resultsfile","pcr_notes","infected","zsp_eq","date_collected","site","spp"
"TAD_001","tad_001",0,0,30.6843,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_002","tad_002",0,0,30.9042,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_003","tad_003",0,0,30.7228,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_004","tad_004",0,0,31.0568,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_005","tad_005",0,0,30.6899,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_006","tad_006",0,0,31.036,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_007","tad_007",0,0,30.7097,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_008","tad_008",0,0,30.6123,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_009","tad_009",0,0,30.8784,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_010","tad_010",0,0,30.8158,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_011","tad_011",0,0,30.6129,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_012","tad_012",0,0,30.5464,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_013","tad_013",0,0,31.1445,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_014","tad_014",0,0,30.8861,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_015","tad_015",0,0,30.8244,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-05","GRAMPS","PSRE"
"TAD_016","tad_016",46.2416,0.000344957,30.6543,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"1",0.028,"2023-06-06","BARN","PSRE"
"TAD_017","tad_017",0,0,30.921,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_018","tad_018",0,0,30.7354,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_019","tad_019",0,0,30.7093,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_020","tad_020",0,0,31.0413,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_021","tad_021",0,0,30.7744,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_022","tad_022",0,0,30.4635,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_023","tad_023",0,0,30.634,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_024","tad_024",0,0,30.7813,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_025","tad_025",0,0,30.591,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_026","tad_026",0,0,30.8836,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_027","tad_027",0,0,30.7859,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_028","tad_028",0,0,30.5188,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_029","tad_029",0,0,30.5508,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
"TAD_030","tad_030",0,0,30.5351,0,"KathrynPlate49_20230718_cln_amphibian_tad_swabs_june_j.csv",NA,"0",0,"2023-06-06","BARN","PSRE"
